Ref;Val;Package;PosX;PosY;Rot;Side
L2;4,7u;L_Vishay_IHLP-1616;27.8501;85.8142;90.0000;top
Q1;Q_PMOS_GSD;SOT-23;16.5090;86.3890;90.0000;top
R1;330;R_0603;26.9855;45.9870;180.0000;top
R2;10k;R_0603;31.5815;48.1460;180.0000;top
R3;5k;R_0603;48.2185;71.3870;180.0000;top
R4;100k;R_0603;100.8480;56.5160;270.0000;top
R5;1M;R_0603;107.8450;47.0030;0.0000;top
R6;10k;R_0603;118.5010;56.5280;0.0000;top
R7;100k;R_0603;118.5130;54.4960;0.0000;top
R8;470;R_0603;100.3400;64.0330;270.0000;top
R9;470;R_0603;102.2450;64.0330;270.0000;top
R10;47k;R_0603;121.6125;87.6550;270.0000;top
R11;47k;R_0603;124.6605;87.6550;90.0000;top
R12;22k;R_0603;119.8345;87.6550;270.0000;top
R13;22k;R_0603;126.4385;87.6550;270.0000;top
R14;22;R_0603;16.5174;96.6720;90.0000;top
R15;22;R_0603;18.2954;96.6720;90.0000;top
R16;470;R_0603;22.9055;104.1410;90.0000;top
R17;2,2k;R_0603;6.8570;91.8220;270.0000;top
R18;20k;R_0603;8.3810;91.8220;270.0000;top
R19;20k;R_0603;9.9050;91.8220;270.0000;top
R20;0;R_0603;13.9800;96.6720;270.0000;top
R21;10k;R_0603;11.4290;91.8220;270.0000;top
R22;750;R_0603;35.1011;81.6232;180.0000;top
R23;240;R_0603;32.1801;81.6232;180.0000;top
R24;100k;R_0603;17.9575;82.4360;180.0000;top
R25;100k;R_0603;15.0365;82.4360;180.0000;top
R26;0;R_0603;14.5268;78.9308;180.0000;top
R27;1k;R_0603;34.3000;-8.9410;0.0000;top
R28;24K;R_0603;30.0750;32.1250;270.0000;top
RN1;500;R_Array_Concave_4x0603;58.0880;57.3980;180.0000;top
RN2;1k;R_Array_Concave_4x0603;43.5140;69.9020;90.0000;top
RN3;10k;R_Array_Concave_4x0603;55.2550;14.7450;90.0000;top
RN4;10k;R_Array_Concave_4x0603;78.1150;14.7450;90.0000;top
SW2;Charge selet;SW_DIP_x2_W5.08mm_Slide_Copal_CHS-A;7.6190;97.1680;90.0000;top
U1;ATMEGA32U4-AU;TQFP-44_10x10mm_Pitch0.8mm;43.1025;59.6550;0.0000;top
U2;vs1053b;LQFP-48_7x7mm_Pitch0.5mm;108.3410;53.9880;0.0000;top
U3;MAX9723-TQFN;QFN-16-1EP_4x4mm_Pitch0.65mm;123.1365;83.1980;0.0000;top
U4;LD1117S33TR_SOT223;SOT-223-3_TabPin2;8.7980;74.4096;0.0000;top
U5;LD1117S33TR_SOT223;SOT-223-3_TabPin2;20.1268;74.4096;0.0000;top
U6;LD1117S18TR_SOT223;SOT-223-3_TabPin2;31.4548;74.4096;0.0000;top
U7;MAX7219;SOIC-24W_7.5x15.4mm_Pitch1.27mm;40.6250;32.1250;270.0000;top
U8;TCA9534;TSSOP-16_4.4x5mm_Pitch0.65mm;66.5580;14.9990;0.0000;top
U9;TXS0108EPWR;TSSOP-20_4.4x6.5mm_Pitch0.65mm;68.3705;58.9370;180.0000;top
Y1;16MHz;Crystal_SMD_5032-4pin_5.0x3.2mm;42.7225;46.5900;180.0000;top
Y2;12,288MHz;Crystal_SMD_5032-4pin_5.0x3.2mm;107.8330;43.7010;0.0000;top
##;End;;;;;
